Data file for DataLogger.
==============================================================================
COMPANY    : <Company name>
COMP.STATUS: Do
DATE       : 14/11/2012
TIME       : 22:54:11
FILENAME   : D:\Diver Office\CSV\bro_oevre2_121114225410_G4445.CSV
CREATED BY : SWS Diver-Office 3.0.90.7
==========================    BEGINNING OF DATA     ==========================
[Logger settings]
  Instrument type         =Cera-Diver=16
  Status                  =Started =0
  Serial number           =..00-G4445  216.
  Instrument number       =                    
                          =0
  Location                =bro_oevre2
  Sample period           =M05
  Sample method           =T   
  Number of channels      =2
[Channel 1]
  Identification          =PRESSURE
  Reference level         =400.0     cm
  Range                   =1750.0    cm
  Master level            =0         m
  Altitude                =0         m
[Channel 2]
  Identification          =TEMPERATURE
  Reference level         =-20.00    °C
  Range                   =100.00    °C


[Series settings]
  Serial number           =..00-G4445  216.
  Instrument number       =                    
  Location                =bro_oevre2
  Sample period           =00 00:05:00 0
  Sample method           =T   
  Start date / time       =00:00:00 08-05-12
  End date / time         =00:55:15 21-10-12
[Channel 1 from data header]
  Identification          =PRESSURE
  Reference level         =400.0     cm
  Range                   =1750.0    cm
  Master level            =0         m
  Altitude                =0         m
[Channel 2 from data header]
  Identification          =TEMPERATURE
  Reference level         =-20.00    °C
  Range                   =100.00    °C


[Data]
48000
Date/time;Pressure[cm];Temperature[°C]
2012-05-09 07:10:00;1079.6;1.03
2012-05-09 07:15:00;1078.7;1.03
2012-05-09 07:20:00;1078.4;1.02
2012-05-09 07:25:00;1077.7;0.99
2012-05-09 07:30:00;1077.8;0.98
2012-05-09 07:35:00;1077.3;0.98
2012-05-09 07:40:00;1077.3;0.96
2012-05-09 07:45:00;1077.7;0.95
2012-05-09 07:50:00;1077.6;0.95
2012-05-09 07:55:00;1077.4;0.93
2012-05-09 08:00:00;1077.3;0.92
2012-05-09 08:05:00;1076.8;0.91
2012-05-09 08:10:00;1076.4;0.90
2012-05-09 08:15:00;1076.1;0.89
2012-05-09 08:20:00;1075.3;0.87
2012-05-09 08:25:00;1074.6;0.87
2012-05-09 08:30:00;1074.6;0.87
2012-05-09 08:35:00;1074.7;0.87
2012-05-09 08:40:00;1074.2;0.87
2012-05-09 08:45:00;1073.9;0.87
2012-05-09 08:50:00;1073.6;0.87
2012-05-09 08:55:00;1073.9;0.85
2012-05-09 09:00:00;1073.3;0.84
2012-05-09 09:05:00;1072.8;0.84
2012-05-09 09:10:00;1073.9;0.84
2012-05-09 09:15:00;1073.8;0.84
2012-05-09 09:20:00;1073.4;0.84
2012-05-09 09:25:00;1073.1;0.86
2012-05-09 09:30:00;1072.5;0.86
2012-05-09 09:35:00;1072.5;0.86
2012-05-09 09:40:00;1072.0;0.87
2012-05-09 09:45:00;1072.6;0.87
2012-05-09 09:50:00;1072.6;0.87
2012-05-09 09:55:00;1072.2;0.87
2012-05-09 10:00:00;1072.6;0.86
2012-05-09 10:05:00;1072.8;0.87
2012-05-09 10:10:00;1072.0;0.86
2012-05-09 10:15:00;1072.3;0.87
2012-05-09 10:20:00;1070.9;0.87
2012-05-09 10:25:00;1071.4;0.87
2012-05-09 10:30:00;1071.5;0.86
2012-05-09 10:35:00;1071.5;0.87
2012-05-09 10:40:00;1070.9;0.88
2012-05-09 10:45:00;1070.7;0.89
2012-05-09 10:50:00;1070.4;0.90
2012-05-09 10:55:00;1069.7;0.92
2012-05-09 11:00:00;1069.6;0.93
2012-05-09 11:05:00;1069.4;0.95
2012-05-09 11:10:00;1069.0;0.97
2012-05-09 11:15:00;1068.8;0.99
2012-05-09 11:20:00;1069.1;1.01
2012-05-09 11:25:00;1069.0;1.03
2012-05-09 11:30:00;1069.0;1.05
2012-05-09 11:35:00;1068.0;1.08
2012-05-09 11:40:00;1068.2;1.09
2012-05-09 11:45:00;1067.5;1.12
2012-05-09 11:50:00;1068.0;1.16
2012-05-09 11:55:00;1067.0;1.19
2012-05-09 12:00:00;1066.8;1.22
2012-05-09 12:05:00;1066.7;1.26
2012-05-09 12:10:00;1066.7;1.30
2012-05-09 12:15:00;1066.1;1.32
2012-05-09 12:20:00;1065.9;1.35
2012-05-09 12:25:00;1065.8;1.38
2012-05-09 12:30:00;1065.6;1.40
2012-05-09 12:35:00;1065.4;1.41
2012-05-09 12:40:00;1065.4;1.43
2012-05-09 12:45:00;1064.3;1.45
2012-05-09 12:50:00;1063.8;1.47
2012-05-09 12:55:00;1064.2;1.51
2012-05-09 13:00:00;1064.5;1.54
2012-05-09 13:05:00;1064.1;1.57
2012-05-09 13:10:00;1064.0;1.60
2012-05-09 13:15:00;1064.2;1.63
2012-05-09 13:20:00;1063.2;1.66
2012-05-09 13:25:00;1062.7;1.70
2012-05-09 13:30:00;1063.8;1.73
2012-05-09 13:35:00;1064.0;1.75
2012-05-09 13:40:00;1063.5;1.79
2012-05-09 13:45:00;1063.0;1.81
2012-05-09 13:50:00;1062.6;1.86
2012-05-09 13:55:00;1062.7;1.89
2012-05-09 14:00:00;1062.8;1.92
2012-05-09 14:05:00;1062.4;1.97
2012-05-09 14:10:00;1061.6;1.98
2012-05-09 14:15:00;1061.6;2.01
2012-05-09 14:20:00;1062.1;2.03
2012-05-09 14:25:00;1062.4;2.05
2012-05-09 14:30:00;1062.4;2.07
2012-05-09 14:35:00;1062.4;2.08
2012-05-09 14:40:00;1062.6;2.10
2012-05-09 14:45:00;1062.4;2.13
2012-05-09 14:50:00;1060.6;2.16
2012-05-09 14:55:00;1060.8;2.18
2012-05-09 15:00:00;1060.3;2.21
2012-05-09 15:05:00;1060.5;2.24
2012-05-09 15:10:00;1059.6;2.24
2012-05-09 15:15:00;1060.5;2.27
2012-05-09 15:20:00;1060.3;2.27
2012-05-09 15:25:00;1060.3;2.27
2012-05-09 15:30:00;1060.3;2.27
2012-05-09 15:35:00;1060.0;2.29
2012-05-09 15:40:00;1060.2;2.31
2012-05-09 15:45:00;1060.0;2.34
2012-05-09 15:50:00;1059.3;2.35
2012-05-09 15:55:00;1060.2;2.39
2012-05-09 16:00:00;1060.5;2.41
2012-05-09 16:05:00;1060.0;2.45
2012-05-09 16:10:00;1058.2;2.46
2012-05-09 16:15:00;1059.0;2.47
2012-05-09 16:20:00;1058.7;2.49
